INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
American Institute of Beauty,FL,NULL,NULL,PrivacySuppressed,50
American Institute of Interior Design,AZ,NULL,NULL,NULL,28
American Institute of Massage Therapy,CA,NULL,NULL,PrivacySuppressed,38
American Institute of Medical Sciences & Education,NJ,NULL,NULL,NULL,330
American Institute of Medical Sonography,NV,NULL,NULL,NULL,48
American Institute of Medical Technology,OK,0.8205,NULL,PrivacySuppressed,75
American Institute of Technology,AZ,NULL,NULL,30800,266
American Institute-Clifton,NJ,NULL,NULL,25700,665
American Institute-Margate,FL,NULL,NULL,PrivacySuppressed,250
American Institute-Toms River,NJ,NULL,NULL,NULL,323
American Institute-West Hartford,CT,NULL,NULL,25700,419
American InterContinental University-Atlanta,GA,NULL,NULL,40700,761
American InterContinental University-Houston,TX,NULL,NULL,40700,430
American InterContinental University-Online,IL,NULL,NULL,40700,10542
American InterContinental University-South Florida,FL,NULL,NULL,40700,46
American International College,MA,0.6757,NULL,38900,1473
American Jewish University,CA,0.4146,NULL,PrivacySuppressed,96
American Medical Academy,FL,NULL,NULL,NULL,247
American Medical Sciences Center,CA,NULL,NULL,NULL,84
American Musical and Dramatic Academy,NY,0.2308,NULL,26800,1735
American National College,TX,NULL,NULL,14700,25
American National College,TX,NULL,NULL,23500,64
American National University,VA,NULL,NULL,21900,1279
American National University-Canton,OH,NULL,NULL,21900,73
American National University-Cincinnati,OH,NULL,NULL,21900,127
American National University-Columbus,OH,NULL,NULL,21900,54
American National University-Dayton,OH,NULL,NULL,21900,131
American National University-Lexington,KY,NULL,NULL,20200,969
American National University-Youngstown,OH,NULL,NULL,21900,118
American Public University System,WV,NULL,NULL,PrivacySuppressed,44924
American River College,CA,NULL,6371,28400,26803
American Samoa Community College,AS,NULL,1203,19800,1276
American School of Business,LA,NULL,NULL,19400,61
American School of Technology,OH,NULL,NULL,21700,280
American Sentinel University,CO,NULL,NULL,NULL,1701
American Technical Institute,PR,NULL,NULL,NULL,35
American Trade School,MO,NULL,NULL,NULL,113
American University,DC,0.4584,NULL,55900,7094
American University of Health Sciences,CA,1,NULL,39000,274
American University of Puerto Rico,PR,NULL,NULL,19300,742
American University of Puerto Rico,PR,NULL,NULL,19300,889
AmeriTech College-Draper,UT,0.5476,NULL,24700,464
AmeriTech College-Provo,UT,0.775,NULL,24700,131
Amherst College,MA,0.1384,NULL,56300,1792
Amridge University,AL,NULL,NULL,40100,291
Anabaptist Mennonite Biblical Seminary,IN,NULL,NULL,NULL,NULL
Ancilla College,IN,NULL,NULL,29400,378
Anderson University,IN,0.5491,NULL,35600,1831
Anderson University,SC,0.7152,NULL,33600,2500
Andover Newton Theological School,MA,NULL,NULL,NULL,NULL
Andrew College,GA,0.4631,NULL,27500,295
Andrews University,MI,0.3688,NULL,34800,1629
Angeles College,CA,NULL,NULL,NULL,94
Angeles Institute,CA,NULL,NULL,NULL,114
Angelina College,TX,NULL,7072,26900,3825
Angelo State University,TX,0.8244,12717,37700,5290
Ann Arbor Institute of Massage Therapy,MI,NULL,NULL,PrivacySuppressed,95
Anna Maria College,MA,0.7757,NULL,41900,1108
Anne Arundel Community College,MD,NULL,14358,36800,13067
Annenberg School of Nursing,CA,NULL,NULL,NULL,19
Anoka Technical College,MN,NULL,13961,38600,1829
Anoka-Ramsey Community College,MN,NULL,12992,36800,6185
Anoka-Ramsey Community College-Cambridge Campus,MN,NULL,NULL,36800,NULL
Antelope Valley College,CA,NULL,5367,27000,12367
Antilles School of Technical Careers,PR,NULL,NULL,18900,545
Antioch University-Los Angeles,CA,NULL,NULL,33800,167
Antioch University-Midwest,OH,NULL,NULL,33800,81
Antioch University-New England,NH,NULL,NULL,33800,NULL
Antioch University-Santa Barbara,CA,NULL,NULL,33800,165
Antioch University-Seattle,WA,NULL,NULL,33800,164
Antonelli College-Cincinnati,OH,NULL,NULL,21100,173
Antonelli College-Hattiesburg,MS,NULL,NULL,21100,209
Antonelli College-Jackson,MS,NULL,NULL,21100,374
Antonelli Institute,PA,NULL,NULL,27000,188
Antonelli Medical and Professional Institute,PA,NULL,NULL,25800,128
AOMA Graduate School of Integrative Medicine,TX,NULL,NULL,PrivacySuppressed,NULL
Aparicio-Levy Technical College,FL,NULL,NULL,NULL,181
Apex Academy of Hair Design Inc,IN,NULL,NULL,PrivacySuppressed,14
Apex School of Theology,NC,NULL,NULL,PrivacySuppressed,596
Apex Technical School,NY,NULL,NULL,33200,1259
Apollo Career Center,OH,NULL,7246,29600,365
Appalachian Beauty School,KY,NULL,NULL,PrivacySuppressed,21
