INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
Star Career Academy–Brick,NJ,NULL,NULL,PrivacySuppressed,374
Star College of Cosmetology 2,TX,NULL,NULL,15700,100
Stark State College,OH,NULL,11192,30400,11319
Starr King School for the Ministry,CA,NULL,NULL,NULL,NULL
Starting Points Inc,NJ,NULL,NULL,NULL,47
State Career College,IL,NULL,NULL,NULL,97
State College of Beauty Culture Inc,WI,NULL,NULL,18700,49
State College of Florida-Manatee-Sarasota,FL,NULL,10260,29200,9228
State Fair Community College,MO,NULL,6662,28900,4024
State Technical College of Missouri,MO,NULL,9141,37500,1177
State University of New York at New Paltz,NY,0.4193,16353,43600,6464
Staunton School of Cosmetology,VA,NULL,NULL,PrivacySuppressed,28
Stautzenberger College-Brecksville,OH,NULL,NULL,27200,307
Stautzenberger College-Maumee,OH,NULL,NULL,27200,708
Stella and Charles Guttman Community College,NY,NULL,3621,NULL,691
StenoTech Career Institute-Piscataway,NJ,NULL,NULL,PrivacySuppressed,55
Stenotype Institute of Jacksonville Inc-Jacksonville,FL,NULL,NULL,28100,164
Stephen F Austin State University,TX,0.5851,19556,39100,10692
Stephens College,MO,0.536,NULL,33300,667
Sterling College,KS,0.4437,NULL,30000,701
Sterling College,VT,0.9853,NULL,PrivacySuppressed,113
Sterling Health Center,TX,NULL,NULL,NULL,44
Stetson University,FL,0.6124,NULL,41600,2821
Steven Papageorge Hair Academy,IL,NULL,NULL,15900,64
Stevens Institute of Technology,NJ,0.4378,NULL,83700,2842
Stevens-Henager College,UT,NULL,NULL,28500,321
Stevens-Henager College,UT,NULL,NULL,28500,270
Stevens-Henager College,UT,NULL,NULL,28500,1648
Stevens-Henager College,UT,NULL,NULL,28500,111
Stevens-Henager College,ID,NULL,NULL,28500,350
Stevens-Henager College,ID,NULL,NULL,24000,120
Stevens-Henager College,UT,NULL,NULL,28500,157
Stevens-The Institute of Business & Arts,MO,1,NULL,26300,143
Stevenson University,MD,0.6231,NULL,50300,3778
Stevensons Academy of Hair Design,LA,NULL,NULL,14500,99
Stewart School,SD,NULL,NULL,PrivacySuppressed,116
Stillman College,AL,0.5901,NULL,25700,1056
Stillwater Beauty Academy,OK,NULL,NULL,PrivacySuppressed,30
Stockton University,NJ,0.6475,20433,46700,7676
Stone Academy-East Hartford,CT,NULL,NULL,22400,332
Stone Academy-Hamden,CT,NULL,NULL,22400,436
Stone Academy-Waterbury,CT,NULL,NULL,22400,187
Stone Child College,MT,NULL,8156,16400,259
Stonehill College,MA,0.7696,NULL,58500,2274
Stony Brook University,NY,0.4134,13519,55000,16170
Strand College of Hair Design,SC,NULL,NULL,PrivacySuppressed,67
Stratford University,VA,NULL,NULL,33600,2336
Strayer University-Alabama,AL,NULL,NULL,49200,422
Strayer University-Alexandria Campus,VA,NULL,NULL,49200,NULL
Strayer University-Allentown Campus,PA,NULL,NULL,49200,NULL
Strayer University-Anne Arundel Campus,MD,NULL,NULL,49200,NULL
Strayer University-Arkansas,AR,NULL,NULL,49200,152
Strayer University-Augusta Campus,GA,NULL,NULL,49200,NULL
Strayer University-Baymeadows Campus,FL,NULL,NULL,49200,NULL
Strayer University-Brickell,FL,NULL,NULL,49200,NULL
Strayer University-Cedar Hill,TX,NULL,NULL,NULL,NULL
Strayer University-Center City Campus,PA,NULL,NULL,49200,NULL
Strayer University-Charleston Campus,SC,NULL,NULL,49200,NULL
Strayer University-Chesapeake Campus,VA,NULL,NULL,49200,NULL
Strayer University-Chesterfield Campus,VA,NULL,NULL,49200,NULL
Strayer University-Cobb Campus,GA,NULL,NULL,49200,NULL
Strayer University-Columbia Campus,SC,NULL,NULL,49200,NULL
Strayer University-Columbus,GA,NULL,NULL,49200,NULL
Strayer University-Coral Springs Campus,FL,NULL,NULL,49200,NULL
Strayer University-Delaware,DE,NULL,NULL,49200,234
Strayer University-Delaware County Campus,PA,NULL,NULL,49200,NULL
Strayer University-District of Columbia,DC,NULL,NULL,49200,774
Strayer University-Doral,FL,NULL,NULL,49200,NULL
Strayer University-Douglasville Campus,GA,NULL,NULL,49200,NULL
Strayer University-Florida,FL,NULL,NULL,49200,1919
Strayer University-Fort Lauderdale Campus,FL,NULL,NULL,49200,NULL
Strayer University-Fredericksburg Campus,VA,NULL,NULL,49200,NULL
Strayer University-Georgia,GA,NULL,NULL,49200,3623
Strayer University-Global Region,DC,NULL,NULL,49200,2738
Strayer University-Greensboro Campus,NC,NULL,NULL,49200,NULL
Strayer University-Henrico Campus,VA,NULL,NULL,49200,NULL
Strayer University-Huntersville Campus,NC,NULL,NULL,49200,NULL
Strayer University-Huntsville Campus,AL,NULL,NULL,49200,NULL
Strayer University-Irving,TX,NULL,NULL,49200,NULL
Strayer University-Katy,TX,NULL,NULL,49200,NULL
Strayer University-King of Prussia Campus,PA,NULL,NULL,49200,NULL
Strayer University-Knoxville Campus,TN,NULL,NULL,49200,NULL
Strayer University-Lawrenceville,NJ,NULL,NULL,49200,NULL
Strayer University-Lithonia Campus,GA,NULL,NULL,49200,NULL
Strayer University-Loudoun Campus,VA,NULL,NULL,49200,NULL
Strayer University-Louisiana,LA,NULL,NULL,49200,113
Strayer University-Lower Bucks County Campus,PA,NULL,NULL,49200,NULL
Strayer University-Maitland Campus,FL,NULL,NULL,49200,NULL
Strayer University-Manassas Campus,VA,NULL,NULL,49200,NULL
Strayer University-Maryland,MD,NULL,NULL,49200,1950
Strayer University-Miramar Campus,FL,NULL,NULL,49200,NULL
Strayer University-Mississippi,MS,NULL,NULL,49200,159
Strayer University-Morrow Campus,GA,NULL,NULL,49200,NULL
Strayer University-Nashville Campus,TN,NULL,NULL,49200,NULL
Strayer University-New Jersey,NJ,NULL,NULL,49200,646
Strayer University-Newport News Campus,VA,NULL,NULL,49200,NULL
Strayer University-North Carolina,NC,NULL,NULL,49200,2494
Strayer University-North Charlotte,NC,NULL,NULL,49200,NULL
Strayer University-North Dallas,TX,NULL,NULL,NULL,NULL
Strayer University-North Raleigh Campus,NC,NULL,NULL,49200,NULL
Strayer University-Northwest Houston,TX,NULL,NULL,49200,NULL
Strayer University-Orlando East Campus,FL,NULL,NULL,49200,NULL
Strayer University-Owings Mills Campus,MD,NULL,NULL,49200,NULL
Strayer University-Palm Beach Gardens Campus,FL,NULL,NULL,49200,NULL
Strayer University-Pennsylvania,PA,NULL,NULL,49200,1537
Strayer University-Piscataway,NJ,NULL,NULL,49200,NULL
Strayer University-Plano,TX,NULL,NULL,49200,NULL
Strayer University-Rockville Campus,MD,NULL,NULL,49200,NULL
Strayer University-Roswell Campus,GA,NULL,NULL,49200,NULL
Strayer University-San Antonio,TX,NULL,NULL,NULL,NULL
Strayer University-Sand Lake Campus,FL,NULL,NULL,49200,NULL
Strayer University-Savannah Campus,GA,NULL,NULL,49200,NULL
Strayer University-Shelby Oaks Campus,TN,NULL,NULL,49200,NULL
Strayer University-South Carolina,SC,NULL,NULL,49200,1206
Strayer University-South Charlotte,NC,NULL,NULL,49200,NULL
Strayer University-South Raleigh Campus,NC,NULL,NULL,49200,NULL
Strayer University-Stafford,TX,NULL,NULL,NULL,NULL
Strayer University-Takoma Park Campus,DC,NULL,NULL,49200,NULL
Strayer University-Tampa East Campus,FL,NULL,NULL,49200,NULL
Strayer University-Tennessee,TN,NULL,NULL,49200,1273
Strayer University-Texas,TX,NULL,NULL,49200,1217
Strayer University-Virginia,VA,NULL,NULL,49200,4448
Strayer University-Virginia Beach Campus,VA,NULL,NULL,49200,NULL
Strayer University-Warrendale Campus,PA,NULL,NULL,49200,NULL
Strayer University-West Virginia,WV,NULL,NULL,49200,156
Strayer University-White Marsh Campus,MD,NULL,NULL,49200,NULL
Strayer University-Willingboro Campus,NJ,NULL,NULL,49200,NULL
Strayer University-Woodbridge Campus,VA,NULL,NULL,49200,NULL
Stroudsburg School of Cosmetology,PA,NULL,NULL,12200,45
Studio Academy of Beauty,AZ,NULL,NULL,NULL,332
Studio Jewelers,NY,NULL,NULL,PrivacySuppressed,55
Stylemaster College of Hair Design,WA,NULL,NULL,17000,77
Styles and Profiles Beauty College,TN,NULL,NULL,PrivacySuppressed,31
Styletrends Barber and Hairstyling Academy,SC,NULL,NULL,PrivacySuppressed,45
Success Schools,IN,NULL,NULL,PrivacySuppressed,132
Suffolk Beauty Academy,VA,NULL,NULL,PrivacySuppressed,43
Suffolk County Community College,NY,NULL,6371,36300,22222
Suffolk University,MA,0.8391,NULL,51200,5274
Sul Ross State University,TX,0.934,10925,37800,2018
Sullivan and Cogliano Training Center,FL,NULL,NULL,PrivacySuppressed,627
Sullivan College of Technology and Design,KY,0.8929,NULL,32400,344
Sullivan County BOCES-Practical Nursing Program,NY,NULL,4646,PrivacySuppressed,9
Sullivan County Community College,NY,NULL,7524,30000,1143
Sullivan University,KY,NULL,NULL,29800,2889
SUM Bible College and Theological Seminary,CA,NULL,NULL,PrivacySuppressed,463
Summit Academy Opportunities Industrialization Center,MN,NULL,NULL,14200,258
Summit College,CA,NULL,NULL,28200,663
Summit Salon Academy,FL,NULL,NULL,NULL,67
Summit Salon Academy,WA,NULL,NULL,NULL,135
Summit Salon Academy-Cincinnati,OH,NULL,NULL,PrivacySuppressed,68
Summit Salon Academy-Gainesville,FL,0.52,NULL,NULL,16
Summit Salon Academy-Lexington,KY,NULL,NULL,PrivacySuppressed,142
Summit Salon Academy-Perrysburg,OH,NULL,NULL,NULL,65
Summit University of Pennsylvania,PA,0.8649,NULL,29000,570
Sumner College,OR,NULL,NULL,30300,262
Sumter Beauty College,SC,NULL,NULL,16200,24
Suncoast Technical College,FL,NULL,9453,21800,346
Sunnyside Beauty Academy,WA,NULL,NULL,NULL,11
Sunstate Academy,FL,NULL,NULL,20300,342
Sunstate Academy,FL,NULL,NULL,17100,205
SUNY at Albany,NY,0.5584,16144,50100,12659
SUNY at Binghamton,NY,0.4406,18536,57400,13372
SUNY at Fredonia,NY,0.5322,16708,39600,4900
SUNY at Purchase College,NY,0.4082,19103,34400,3925
SUNY Broome Community College,NY,NULL,5696,30200,5556
SUNY Buffalo State,NY,0.6155,11899,38100,9185
SUNY College at Brockport,NY,0.4895,14949,41300,6951
SUNY College at Cortland,NY,0.4896,18661,45000,6311
SUNY College at Geneseo,NY,0.5913,18305,46200,5497
SUNY College at Old Westbury,NY,0.6235,7756,43200,4173
SUNY College at Oswego,NY,0.4837,16916,40800,7102
SUNY College at Plattsburgh,NY,0.4786,14741,39500,5430
SUNY College at Potsdam,NY,0.6758,15445,36700,3669
SUNY College of Agriculture and Technology at Cobleskill,NY,0.7334,15364,33700,2512
SUNY College of Environmental Science and Forestry,NY,0.5113,18321,42000,1718
SUNY College of Optometry,NY,NULL,NULL,89100,NULL
SUNY College of Technology at Alfred,NY,0.5424,15293,36900,3607
SUNY College of Technology at Canton,NY,0.8067,12149,32600,3140
SUNY College of Technology at Delhi,NY,0.6819,14339,35800,3407
SUNY Downstate Medical Center,NY,NULL,NULL,128000,338
SUNY Empire State College,NY,0.8112,12857,39300,9949
SUNY Maritime College,NY,0.5265,18431,74500,1624
SUNY Oneonta,NY,0.4988,17209,42300,5803
SUNY Polytechnic Institute,NY,0.561,15920,49600,1890
SUNY Westchester Community College,NY,NULL,6068,37400,12257
Surry Community College,NC,NULL,8142,25900,2318
Susquehanna County Career and Technology Center,PA,NULL,23274,PrivacySuppressed,65
Susquehanna University,PA,0.782,NULL,50000,2022
Sussex County Community College,NJ,NULL,11564,30800,2688
Sutter Beauty College,CA,NULL,NULL,NULL,86
SW School of Business & Technical Careers,TX,NULL,NULL,PrivacySuppressed,NULL
SW School of Business & Technical Careers,TX,NULL,NULL,PrivacySuppressed,NULL
SW School of Business and Technical Careers,TX,NULL,NULL,14600,59
SW School of Business and Technical Careers-Cosmetology,TX,NULL,NULL,PrivacySuppressed,49
SW School of Business and Technical Careers-Del Rio,TX,NULL,NULL,14600,NULL
SW School of Business and Technical Careers-North Campus,TX,NULL,NULL,14600,NULL
SW School of Business and Technical Careers-South Campus,TX,NULL,NULL,14600,NULL
Swarthmore College,PA,0.1702,NULL,48500,1530
Swedish Institute a College of Health Sciences,NY,NULL,NULL,31000,792
Sweet Briar College,VA,0.9354,NULL,39400,561
Sylvain Melloul International Hair Academy,VA,NULL,NULL,14100,82
Syracuse City Schools Practical Nursing Program,NY,1,13263,32600,33
Syracuse University,NY,0.5323,NULL,56600,14768
Tabor College,KS,0.8568,NULL,39500,708
Tacoma Community College,WA,NULL,5837,34400,5171
Taft College,CA,NULL,6586,30600,4830
Taft University System,CO,NULL,NULL,NULL,0
Talladega College,AL,NULL,NULL,25100,819
Tallahassee Community College,FL,NULL,4761,29900,11995
Talmudic College of Florida,FL,NULL,NULL,PrivacySuppressed,46
Talmudical Academy-New Jersey,NJ,1,NULL,PrivacySuppressed,69
Talmudical Institute of Upstate New York,NY,1,NULL,NULL,13
Talmudical Seminary of Bobov,NY,0.9577,NULL,PrivacySuppressed,327
Talmudical Seminary Oholei Torah,NY,1,NULL,18000,330
Talmudical Yeshiva of Philadelphia,PA,0.75,NULL,PrivacySuppressed,120
Tarleton State University,TX,0.5254,15210,40600,10214
Tarrant County College District,TX,NULL,5453,33600,42189
Taylor Andrews Academy of Hair Design-West Jordan,UT,NULL,NULL,NULL,126
Taylor Andrews Academy-Orem,UT,NULL,NULL,NULL,53
Taylor Andrews Academy-St George,UT,NULL,NULL,NULL,109
Taylor Business Institute,IL,1,NULL,20800,98
Taylor College,FL,NULL,NULL,PrivacySuppressed,150
Taylor Technical Institute,FL,NULL,2510,18000,142
Taylor University,IN,0.8803,NULL,36500,1855
Taylortown School of Beauty Inc,MI,NULL,NULL,PrivacySuppressed,172
TDDS Technical Institute,OH,0.5507,NULL,31900,226
Teachers College at Columbia University,NY,NULL,NULL,69100,NULL
Technical Career Institutes,NY,NULL,NULL,32700,2761
Technical College of the Lowcountry,SC,NULL,3906,25300,2244
Technical Education Center-Osceola,FL,NULL,8687,29500,400
Technical Institute of Cosmetology Arts and Sciences,OK,NULL,NULL,PrivacySuppressed,38
Technical Learning Centers Inc,DC,NULL,NULL,PrivacySuppressed,258
Telshe Yeshiva-Chicago,IL,1,NULL,PrivacySuppressed,67
Temple College,TX,NULL,5373,30500,5013
Temple University,PA,0.6173,19918,47200,27669
Tenaj Salon Institute,FL,NULL,NULL,NULL,114
Tennessee Academy of Cosmetology-Shelby Drive,TN,NULL,NULL,18900,96
Tennessee Academy of Cosmetology-Stage Road,TN,NULL,NULL,19300,95
Tennessee Career Institute,TN,NULL,NULL,PrivacySuppressed,90
Tennessee College of Applied Technology Nashville,TN,NULL,6782,27000,804
Tennessee College of Applied Technology-Athens,TN,NULL,5334,26600,237
Tennessee College of Applied Technology-Covington,TN,NULL,8356,25500,244
Tennessee College of Applied Technology-Crossville,TN,NULL,9616,21600,315
Tennessee College of Applied Technology-Crump,TN,NULL,4533,24700,214
Tennessee College of Applied Technology-Dickson,TN,NULL,9471,24700,430
Tennessee College of Applied Technology-Elizabethton,TN,NULL,9623,25000,475
Tennessee College of Applied Technology-Harriman,TN,NULL,7240,27200,216
Tennessee College of Applied Technology-Hartsville,TN,NULL,8161,27300,274
Tennessee College of Applied Technology-Hohenwald,TN,NULL,9390,26200,353
Tennessee College of Applied Technology-Jacksboro,TN,NULL,5267,26500,260
Tennessee College of Applied Technology-Jackson,TN,NULL,7668,26200,383
Tennessee College of Applied Technology-Knoxville,TN,NULL,5288,23300,1300
Tennessee College of Applied Technology-Livingston,TN,NULL,5556,20800,299
Tennessee College of Applied Technology-McKenzie,TN,NULL,7195,23300,151
Tennessee College of Applied Technology-McMinnville,TN,NULL,9070,27700,181
Tennessee College of Applied Technology-Memphis,TN,NULL,5790,25400,1051
Tennessee College of Applied Technology-Morristown,TN,NULL,8334,25600,579
Tennessee College of Applied Technology-Murfreesboro,TN,NULL,9618,30500,361
Tennessee College of Applied Technology-Newbern,TN,NULL,4299,19700,276
Tennessee College of Applied Technology-Oneida-Huntsville,TN,NULL,6503,26000,157
Tennessee College of Applied Technology-Paris,TN,NULL,6216,20900,309
Tennessee College of Applied Technology-Pulaski,TN,NULL,6807,23400,202
Tennessee College of Applied Technology-Ripley,TN,NULL,6198,25500,95
Tennessee College of Applied Technology-Shelbyville,TN,NULL,7251,31200,468
Tennessee College of Applied Technology-Whiteville,TN,NULL,5686,23800,194
Tennessee School of Beauty of Knoxville Inc,TN,NULL,NULL,13200,195
Tennessee State University,TN,NULL,9770,34700,6968
Tennessee Technological University,TN,0.9441,13203,36600,10039
Tennessee Temple University,NC,0.5817,NULL,30900,496
Tennessee Wesleyan College,TN,0.6667,NULL,36200,981
Terra State Community College,OH,NULL,7271,28500,2015
Teterboro School of Aeronautics,NJ,NULL,NULL,46200,160
Texarkana College,TX,NULL,9240,24900,2701
Texas A & M International University,TX,0.467,4569,43200,6706
Texas A & M University Health Science Center,TX,NULL,NULL,NULL,NULL
Texas A & M University-College Station,TX,0.7103,11315,53900,46941
Texas A & M University-Commerce,TX,0.4784,9263,36900,7358
Texas A & M University-Corpus Christi,TX,0.8462,14165,41200,9074
Texas A & M University-Kingsville,TX,0.8357,11924,38800,8815
Texas A & M University-Texarkana,TX,0.4755,6637,34400,1386
Texas A&M University-San Antonio,TX,NULL,NULL,38800,NULL
Texas Barber Colleges and Hairstyling Schools,TX,NULL,NULL,16800,789
Texas Barber Colleges and Hairstyling Schools Branch Campus #1,TX,NULL,NULL,16800,NULL
Texas Barber Colleges and Hairstyling Schools Branch Campus #2,TX,NULL,NULL,16800,NULL
Texas Barber Colleges and Hairstyling Schools Branch Campus #5,TX,NULL,NULL,16800,NULL
Texas Barber Colleges and Hairstyling Schools Branch Campus #6,TX,NULL,NULL,16800,NULL
Texas Barber Colleges and Hairstyling Schools Branch Campus #7,TX,NULL,NULL,16800,NULL
Texas Beauty College,TX,NULL,NULL,NULL,70
Texas Chiropractic College Foundation Inc,TX,NULL,NULL,45900,NULL
Texas Christian University,TX,0.4887,NULL,50000,8600
Texas College,TX,NULL,NULL,25200,813
Texas College of Cosmetology-Abilene,TX,NULL,NULL,17300,87
Texas College of Cosmetology-San Angelo,TX,NULL,NULL,17300,102
Texas County Technical College,MO,NULL,NULL,27700,125
Texas Health and Science University,TX,NULL,NULL,NULL,13
Texas Health School,TX,NULL,NULL,PrivacySuppressed,92
Texas Lutheran University,TX,0.5587,NULL,43900,1270
Texas Southern University,TX,0.5192,18023,30500,6880
Texas State Technical College-Harlingen,TX,NULL,9713,25800,3323
Texas State Technical College-Marshall,TX,NULL,12777,PrivacySuppressed,489
Texas State Technical College-Waco,TX,NULL,8071,32600,3747
Texas State Technical College-West Texas,TX,NULL,16453,29700,1184
Texas State University,TX,0.729,13363,43400,32177
Texas Tech University,TX,0.6613,15315,47500,28278
Texas Tech University Health Sciences Center,TX,NULL,NULL,68900,1467
Texas Vocational Schools Inc,TX,NULL,NULL,26900,38
Texas Wesleyan University,TX,0.3806,NULL,41300,1676
Texas Woman's University,TX,0.8531,8855,44600,9327
Thaddeus Stevens College of Technology,PA,0.2383,6968,38900,891
Thanh Le College School of Cosmetology,CA,NULL,NULL,15600,41
The Academy of Hair Design Six,MS,NULL,NULL,15200,74
The Academy of Radio and TV Broadcasting,CA,NULL,NULL,28400,14
The Academy Waukesha,WI,NULL,NULL,NULL,155
The Ailey School,NY,0.5333,NULL,PrivacySuppressed,96
The Art Institute of Atlanta,GA,NULL,NULL,30500,2584
The Art Institute of Austin,TX,NULL,NULL,32600,1189
The Art Institute of Charleston,SC,NULL,NULL,30500,554
The Art Institute of Charlotte,NC,NULL,NULL,28800,1129
The Art Institute of Cincinnati-AIC College of Design,OH,0.7391,NULL,29700,36
The Art Institute of Colorado,CO,NULL,NULL,32200,1414
The Art Institute of Fort Lauderdale,FL,NULL,NULL,28800,1514
The Art Institute of Houston,TX,NULL,NULL,32600,1887
The Art Institute of Indianapolis,IN,NULL,NULL,27400,834
The Art Institute of Las Vegas,NV,NULL,NULL,27400,952
The Art Institute of Michigan,MI,NULL,NULL,33300,972
The Art Institute of New York City,NY,NULL,NULL,30400,898
The Art Institute of Ohio-Cincinnati,OH,NULL,NULL,33300,660
The Art Institute of Philadelphia,PA,NULL,NULL,30600,1953
The Art Institute of Phoenix,AZ,NULL,NULL,27400,1009
The Art Institute of Pittsburgh,PA,NULL,NULL,30800,1279
The Art Institute of Pittsburgh-Online Division,PA,NULL,NULL,30800,9374
The Art Institute of Portland,OR,NULL,NULL,33500,1111
The Art Institute of Raleigh-Durham,NC,NULL,NULL,28800,610
The Art Institute of Salt Lake City,UT,NULL,NULL,27400,375
The Art Institute of San Antonio,TX,NULL,NULL,32600,1070
The Art Institute of Seattle,WA,NULL,NULL,34100,1378
The Art Institute of St Louis,MO,NULL,NULL,NULL,455
The Art Institute of Tennessee-Nashville,TN,NULL,NULL,30500,822
The Art Institute of Tucson,AZ,NULL,NULL,27400,388
The Art Institute of Virginia Beach,VA,NULL,NULL,30500,632
The Art Institute of Washington,VA,NULL,NULL,30500,1194
The Art Institute of Washington-Dulles,VA,NULL,NULL,30500,191
The Art Institute of Wisconsin,WI,NULL,NULL,27400,529
The Art Institutes International-Minnesota,MN,NULL,NULL,33600,932
The Art Institutes International–Kansas City,KS,NULL,NULL,27400,376
The Art Institutes of York-PA,PA,NULL,NULL,31000,368
The Artisan College of Cosmetology,OH,NULL,NULL,NULL,26
The Baptist College of Florida,FL,0.5556,NULL,30800,454
The Barber School,UT,NULL,NULL,NULL,187
The Beauty Institute,FL,NULL,NULL,PrivacySuppressed,45
The Beauty Institute Schwarzkopf Professional - Boise,ID,NULL,NULL,14000,114
The Beauty Institute Schwarzkopf Professional - Coeur D'Alene,ID,NULL,NULL,14000,92
The Beauty Institute-Schwarzkopf Professional-Bellingham,WA,NULL,NULL,PrivacySuppressed,84
The Boston Conservatory,MA,0.3904,NULL,27700,505
The California Maritime Academy,CA,0.667,15472,79400,1047
The Center for Cosmetology Education,TN,NULL,NULL,17200,51
The Chicago School of Professional Psychology at Chicago,IL,NULL,NULL,NULL,NULL
The Chicago School of Professional Psychology at Irvine,CA,NULL,NULL,NULL,NULL
The Chicago School of Professional Psychology at Los Angeles,CA,NULL,NULL,NULL,16
The Chicago School of Professional Psychology at Washington DC,DC,NULL,NULL,NULL,NULL
The Chicago School of Professional Psychology at Westwood,CA,NULL,NULL,NULL,NULL
The Christ College of Nursing and Health Sciences,OH,0.7568,NULL,48400,712
The Chrysm Insitute of Esthetics,VA,NULL,NULL,NULL,114
The Collective School Of Music,NY,NULL,NULL,NULL,52
The College of Health Care Professions-Austin,TX,NULL,NULL,25900,260
The College of Health Care Professions-Dallas,TX,NULL,NULL,NULL,152
The College of Health Care Professions-Fort Worth,TX,NULL,NULL,NULL,310
The College of Health Care Professions-San Antonio,TX,NULL,NULL,28000,321
The College of Health Care Professions-Southwest Houston,TX,NULL,NULL,28000,217
The College of Idaho,ID,0.929,NULL,38000,1113
The College of New Jersey,NJ,0.4897,22516,56000,6407
The College of New Rochelle,NY,0.3853,NULL,35700,3075
The College of Saint Rose,NY,0.7629,NULL,42800,2614
The College of Saint Scholastica,MN,0.6618,NULL,50000,2788
The College of Westchester,NY,0.7935,NULL,34700,1008
The College of Wooster,OH,0.5909,NULL,46400,2029
The Colorlab Academy of Hair,MD,NULL,NULL,PrivacySuppressed,66
The Commonwealth Medical College,PA,NULL,NULL,NULL,NULL
The Community College of Baltimore County,MD,NULL,7291,33400,21500
The Creative Center,NE,0.7667,NULL,33800,78
The Creative Circus,GA,NULL,NULL,74800,126
The English Center,CA,NULL,NULL,27700,82
The Evergreen State College,WA,0.989,12971,32800,3802
The General Theological Seminary,NY,NULL,NULL,NULL,NULL
The Hair Academy,ND,NULL,NULL,NULL,52
The Hair Design School-Charlotte,NC,NULL,NULL,16900,124
The Hair Design School-E Greensboro,NC,NULL,NULL,16400,140
The Hair Design School-N Memphis,TN,NULL,NULL,23700,56
The Hair Design School-S Memphis,TN,NULL,NULL,19900,150
The Hair Design School-Winston-Salem,NC,NULL,NULL,19400,114
The Illinois Institute of Art-Chicago,IL,NULL,NULL,33300,1807
The Illinois Institute of Art-Schaumburg,IL,NULL,NULL,33300,902
The Institute of Beauty and Wellness,WI,NULL,NULL,PrivacySuppressed,213
The International Culinary Center,NY,NULL,NULL,36600,452
The John Marshall Law School,IL,NULL,NULL,NULL,NULL
The Juilliard School,NY,0.0843,NULL,29000,509
The King's University,TX,1,NULL,30100,473
The King’s College,NY,0.7039,NULL,PrivacySuppressed,482
The Lab-Paul Mitchell Partner School,NJ,NULL,NULL,NULL,108
The Landing School,ME,NULL,NULL,PrivacySuppressed,78
The Master's College and Seminary,CA,0.7588,NULL,38300,1182
The Medical Arts School,NC,NULL,NULL,PrivacySuppressed,124
The National Hispanic University,CA,NULL,NULL,44200,47
The New England Conservatory of Music,MA,0.2914,NULL,28000,389
The New England Institute of Art,MA,NULL,NULL,34900,555
The New School,NY,0.659,NULL,40700,6695
The Ohio Media School-Columbus,OH,NULL,NULL,27500,67
The Restaurant School at Walnut Hill College,PA,0.8746,NULL,32100,396
The Robert B Miller College,MI,NULL,NULL,PrivacySuppressed,239
The Sage Colleges,NY,0.5481,NULL,38900,1657
The Salon Professional Academy-Altoona,PA,NULL,NULL,PrivacySuppressed,43
The Salon Professional Academy-Anderson,IN,NULL,NULL,NULL,107
The Salon Professional Academy-Appleton,WI,NULL,NULL,NULL,75
The Salon Professional Academy-Colorado Springs,CO,NULL,NULL,NULL,56
The Salon Professional Academy-Eau Claire,WI,NULL,NULL,17500,71
The Salon Professional Academy-Evansville,IN,NULL,NULL,NULL,93
The Salon Professional Academy-Fargo,ND,NULL,NULL,PrivacySuppressed,103
The Salon Professional Academy-Ft Myers,FL,NULL,NULL,NULL,27
The Salon Professional Academy-Grand Junction,CO,NULL,NULL,PrivacySuppressed,75
The Salon Professional Academy-Huntsville,AL,NULL,NULL,NULL,51
The Salon Professional Academy-Iowa City,IA,NULL,NULL,NULL,47
The Salon Professional Academy-Kenosha,WI,NULL,NULL,NULL,89
The Salon Professional Academy-Kokomo,IN,NULL,NULL,NULL,97
The Salon Professional Academy-Lewisville,TX,NULL,NULL,NULL,76
The Salon Professional Academy-Melbourne,FL,NULL,NULL,13400,74
The Salon Professional Academy-Nashville,TN,NULL,NULL,NULL,49
The Salon Professional Academy-North Little Rock,AR,NULL,NULL,NULL,76
The Salon Professional Academy-Onalaska,WI,NULL,NULL,NULL,74
The Salon Professional Academy-San Jose,CA,NULL,NULL,NULL,19
The Salon Professional Academy-Shorewood,IL,NULL,NULL,NULL,60
The Salon Professional Academy-South Plainfield,NJ,NULL,NULL,NULL,118
The Salon Professional Academy-St Charles,MO,NULL,NULL,NULL,69
The Salon Professional Academy-Tonawanda,NY,NULL,NULL,NULL,143
The Salon Spa Academy,MI,NULL,NULL,NULL,67
The Salter School-Malden Campus,MA,NULL,NULL,28900,349
The Salter School-Tewksbury Campus,MA,NULL,NULL,28900,252
The School of Hairstyling,ID,NULL,NULL,9500,34
The Seattle School of Theology & Psychology,WA,NULL,NULL,NULL,NULL
The Spa School,OH,NULL,NULL,27200,89
The Temple-A Paul Mitchell Partner School,MD,NULL,NULL,NULL,218
The University of Aesthetics & Cosmetology,IL,NULL,NULL,NULL,31
The University of Alabama,AL,0.5105,20787,41900,29851
The University of Findlay,OH,0.7197,NULL,40800,2767
The University of Montana,MT,0.9272,12863,34300,10969
The University of Montana - Missoula College,MT,NULL,NULL,34300,NULL
The University of Montana-Western,MT,NULL,9474,30200,1337
The University of Tampa,FL,0.5188,NULL,43900,6811
The University of Tennessee-Chattanooga,TN,0.7728,12404,36100,10213
The University of Tennessee-Knoxville,TN,0.7483,15949,42300,21396
