name,city,state,adm_rate,pd1,pd3,pd4,pd5,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,pd19,pd22,pd23,pd24,pd25,pd26,pd27,pd29,pd30,pd31,pd38,pd39,pd40,pd41,pd42,pd43,pd44,pd45,pd46,pd47,pd48,pd49,pd50,pd51,pd52,pd54,pop,debt,earnings
Anderson University,Anderson,SC,0.7152,0,0,0,0,0.031,0,0,0,0.1774,0,0,0.0022,0,0.0022,0.0333,0.0111,0,0.0155,0,0,0.0288,0.0732,0.0732,0.0089,0,0,0.0532,0.0554,0,0,0,0,0,0,0.1308,0.0333,0.2572,0.0133,2500,27000,33600
Andrew College,Cuthbert,GA,0.4631,0,0,0,0,0.1034,0,0,0,0,0.0345,0,0,0,0.0345,0.0345,0.069,0,0.069,0,0,0,0.069,0,0,0,0,0.0345,0.1034,0,0,0,0,0,0,0.069,0.2069,0.1379,0.0345,295,12875,27500
Andrews University,Berrien Springs,MI,0.3688,0.0303,0,0.0278,0,0.0202,0,0.0101,0,0.0429,0.0328,0.0076,0.0581,0.048,0,0.0177,0.053,0,0.101,0.0051,0,0.0202,0.0101,0.0278,0.0303,0.0051,0,0.0556,0,0.0455,0.0152,0,0,0,0.0152,0.0581,0.149,0.1086,0.0051,1629,27750,34800
Angelo State University,San Angelo,TX,0.8244,0.0675,0.0072,0,0,0.0387,0,0.0315,0,0.0198,0,0,0.0072,0,0,0.0387,0,0,0.0396,0.0189,0,0.1107,0.0666,0.0009,0,0.0279,0,0.0765,0.0432,0.0279,0.0405,0,0,0,0,0.0342,0.135,0.135,0.0324,5290,21319.5,37700
Anna Maria College,Paxton,MA,0.7757,0,0.0043,0,0,0.0128,0,0,0,0.0256,0,0,0,0,0.0128,0.0043,0.0299,0,0,0,0,0,0,0,0.0043,0,0,0.0299,0.3932,0.0897,0,0,0,0,0,0.0342,0.2094,0.141,0.0085,1108,25361,41900
Appalachian Bible College,Mount Hope,WV,0.6914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,9300,28700
Appalachian State University,Boone,NC,0.6266,0,0.0266,0.0021,0.0009,0.0636,0,0.0101,0,0.1421,0,0.0184,0.0086,0.0115,0,0.0178,0.008,0,0.0376,0.0065,0,0.0095,0.069,0.0065,0,0.0258,0,0.0746,0.042,0.0184,0.0675,0,0,0,0,0.0616,0.0915,0.1616,0.0184,16116,20000,36400
Applied Technology Services,Sunset Hills,MO,0.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,166,14737,38200
Aquinas College,Grand Rapids,MI,0.6509,0,0.0056,0,0,0.0424,0,0.0169,0,0.048,0,0,0.0169,0,0,0.0706,0.065,0,0.0847,0.0367,0,0.0367,0.0678,0,0.0056,0.0085,0,0.113,0,0.0226,0.0932,0,0,0,0,0.0678,0,0.1808,0.0169,1734,25000,35800
Aquinas College,Nashville,TN,0.6104,0,0,0,0,0,0,0,0,0.0839,0,0,0,0,0,0,0.0129,0,0,0,0,0,0,0.0065,0.0129,0,0,0,0,0,0,0,0,0,0,0,0.8645,0.0194,0,406,21426,45400
Arcadia University,Glenside,PA,0.588,0,0,0,0.0061,0.0772,0,0.0224,0,0.0549,0,0,0.0081,0,0.0041,0.063,0.0142,0,0.1565,0.0224,0,0.0711,0,0.002,0,0.0244,0,0.1118,0,0,0.0976,0,0,0,0,0.126,0.0467,0.061,0.0305,2482,26972,42900
Aria Health School of Nursing,Trevose,PA,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,217,26871,62400
Arizona Christian University,Phoenix,AZ,0.5673,0,0,0,0,0.0092,0,0,0,0.1651,0,0,0,0,0,0,0.0092,0,0,0,0,0,0,0,0.3486,0,0,0.2018,0,0,0,0,0,0,0,0.0367,0,0.2294,0,620,22500,33500
Arizona State University-Tempe,Tempe,AZ,0.8433,0,0.0124,0.0166,0.0067,0.0474,0,0.0314,0,0.0427,0.0774,0.0003,0.0121,0.0237,0.0136,0.0223,0.0004,0,0.0819,0.0139,0,0.0657,0.0164,0.0084,0,0.0108,0,0.0557,0,0,0.1034,0,0,0,0,0.0759,0.0112,0.2364,0.0132,39316,20229,45100
Arkansas State University-Main Campus,Jonesboro,AR,0.7239,0.0343,0.0036,0,0,0.0352,0.0018,0.0108,0,0.1476,0.0135,0.0099,0.0036,0,0,0.009,0.2013,0,0.0217,0.0059,0,0.0041,0.037,0.0009,0,0.0153,0,0.0347,0.0005,0.0162,0.0569,0,0,0,0,0.0171,0.1855,0.1268,0.0068,9139,19250,31700
Arkansas Tech University,Russellville,AR,0.8626,0.0144,0.0064,0,0.0025,0.0282,0,0.0173,0.0064,0.108,0.0282,0.0183,0.0035,0.0069,0,0.0124,0.0272,0,0.0188,0.0064,0,0.1689,0.0124,0,0,0.0109,0,0.0317,0.0609,0.004,0.0173,0,0.0337,0.0139,0,0.0149,0.2204,0.0872,0.0188,8845,17480,33800
Armstrong State University,Savannah,GA,0.6803,0,0,0,0.0009,0,0,0.0353,0,0.106,0,0,0.0149,0,0.0084,0.0381,0.1284,0,0.0688,0.0084,0,0,0,0,0,0.0223,0,0.0465,0.0326,0,0.053,0,0,0,0,0.0381,0.3702,0,0.0279,6162,21000,38400
Arnot Ogden Medical Center,Elmira,NY,0.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70,19500,44900
Art Academy of Cincinnati,Cincinnati,OH,0.2434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,201,27000,31500
Art Center College of Design,Pasadena,CA,0.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1814,33721,56100
Asbury University,Wilmore,KY,0.687,0.0462,0,0,0,0.1885,0,0,0,0.1808,0.0038,0,0.0192,0,0,0.05,0,0,0.0423,0.0231,0,0,0.05,0,0.0692,0.0038,0,0.0346,0.0038,0.0385,0.0346,0,0,0,0,0.0615,0.0115,0.1231,0.0154,1499,25250,33600
Ashland University,Ashland,OH,0.7257,0,0.0045,0,0,0.0281,0,0.0067,0,0.4499,0,0,0.0011,0.0045,0,0.009,0.009,0,0.0562,0.0056,0,0.0067,0.0124,0.0011,0,0.0056,0,0.0191,0.0169,0.0135,0.0259,0,0,0,0,0.0202,0.1226,0.1744,0.0067,3227,27000,39000
Assumption College,Worcester,MA,0.813,0,0.0093,0,0.0019,0.0519,0,0.0148,0,0,0,0,0.0111,0,0.013,0.0889,0.0111,0,0.0926,0.0204,0,0.0037,0,0.0074,0.0037,0.0074,0,0.1056,0,0,0.0796,0,0,0,0,0.0241,0.1389,0.2593,0.0556,2193,27000,53600
Atlanta Institute of Music and Media,Duluth,GA,0.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,170,5500,21400
ATS Institute of Technology,Highland Heights,OH,0.7467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9136,0,0,459,19000,22100
Auburn University,Auburn,AL,0.8347,0.0448,0.0178,0.0221,0,0.0573,0,0.006,0,0.0921,0.1637,0,0.0089,0.0366,0,0.0127,0,0,0.0934,0.0089,0,0.0219,0,0.0013,0,0.0123,0,0.0404,0,0.0178,0.0495,0,0,0,0,0.0361,0.0491,0.1949,0.0125,20514,21831,45700
Auburn University at Montgomery,Montgomery,AL,0.8017,0,0,0,0,0.043,0,0,0,0.1174,0,0,0.005,0,0,0.0182,0.0231,0,0.0893,0.0066,0,0,0,0,0,0.0231,0,0.0579,0.0479,0,0.0298,0,0,0,0,0.0314,0.1851,0.3157,0.0066,4304,21335,35000
