name,state,adm_rate,cost,earnings,pop,debt,ucflag
Michigan Technological University,MI,0.755,14336,61400,5576,26264,0
Middle Tennessee State University,TN,0.7206,11174,35900,19928,21743,0
Midwestern State University,TX,0.6164,10823,38900,5142,22500,0
Mifflin County Academy of Science and Technology,PA,0.7647,15335,32800,56,PrivacySuppressed,0
Millersville University of Pennsylvania,PA,0.6871,16438,42900,7070,25500,0
Minnesota State University Moorhead,MN,0.8419,15183,36500,5496,22250,0
Minnesota State University-Mankato,MN,0.6658,13898,42300,12332,22997,0
Minot State University,ND,0.5768,10567,37200,2570,18951,0
Mississippi State University,MS,0.7102,15902,40100,15800,23537,0
Mississippi University for Women,MS,0.9361,9810,33600,2316,14560,0
Mississippi Valley State University,MS,0.1633,6547,22600,1813,30362.5,0
Missouri Southern State University,MO,0.96,8314,33000,5076,21000,0
Missouri State University-Springfield,MO,0.8503,14866,36800,16177,22313,0
Missouri University of Science and Technology,MO,0.8585,14874,64100,6418,25000,0
Monongalia County Technical Education Center,WV,0.7073,4320,28100,81,PrivacySuppressed,0
Montana State University,MT,0.8385,16600,39600,13117,24854,0
Montana State University-Northern,MT,1,13636,33400,1125,15873,0
Montana Tech of the University of Montana,MT,0.9075,11826,40600,1868,20667,0
Montclair State University,NJ,0.6683,21685,48300,15676,23000,0
Moore Norman Technology Center,OK,0.6389,1767,25000,428,PrivacySuppressed,0
Morehead State University,KY,0.8443,10830,30900,7212,25000,0
Morgan State University,MD,0.6525,15926,38600,6239,31000,0
Morrisville State College,NY,0.5619,15904,31500,2728,20000,0
Murray State University,KY,0.7996,9817,35300,8126,20907.5,0
New Jersey City University,NJ,0.7659,8001,41800,6163,17500,0
New Jersey Institute of Technology,NJ,0.6339,18205,64500,6748,21500,0
New Mexico Institute of Mining and Technology,NM,0.3639,11451,54300,1525,16006,0
New Mexico Military Institute,NM,0.3989,5181,38800,459,7577.5,0
New Mexico State University-Main Campus,NM,0.696,9531,32800,12171,18340,0
Nicholls State University,LA,0.8837,10195,35000,5513,20308,0
Norfolk State University,VA,0.6567,11920,33100,5284,31000,0
North Carolina A & T State University,NC,0.57,10573,33000,8894,28500,0
North Carolina Central University,NC,0.4322,10464,31600,5554,31000,0
