X,Y,OBJECTID,Building_Code,School_Name,Type,Authorized_Grades,District,Charter_Authorizer,ESP_2013_2014,Street_Address,School_Type,Zip,Alternative_Flag,School_Label,SkillmanArea,SkillmanAreaAlt,TotalStudentsFall2013,SchoolType2,TotalStudentMiles,AvgStudentMiles
-83.05222005314279,42.349606632003919,78,03558,Spain Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,3700 Beaubien St,DPS,48201,,Spain Elementary-Middle School,,,623,Detroit City District,2420.294322,3.891148
-83.058184044056972,42.362337587777347,79,09888,University Preparatory Academy Middle School,K8,"6,7,8",University Preparatory Academy (PSAD),Grand Valley State University,Detroit 90/90,5310 Saint Antoine St,Charter,48202,,University Preparatory Academy Middle School,,,409,Charter,2927.299986,7.157213
-83.0329026107337,42.346207195667766,80,01567,University Preparatory Science and Math - Elementary,K8,"KG,1,2,3,4,5",University Preparatory Science and Math (PSAD),Grand Valley State University,Detroit 90/90,2322 Dubois St,Charter,48207,,University Preparatory Science and Math - Elementary,,,422,Charter,3045.885597,7.234883
-83.062841051340953,42.35895058917167,81,09907,University Preparatory Science and Math (PSAD) Middle,K8,"6,7,8",University Preparatory Science and Math (PSAD),Grand Valley State University,Detroit 90/90,5100 John R St,Charter,48202,,University Preparatory Science and Math (PSAD) Middle,,,476,Charter,3867.012589,8.123976
-83.18257831131244,42.438815941550217,82,04292,Vernor Elementary School,K8,"KG,1,2,3,4,5,6",Detroit City School District,,,13726 Pembroke Ave,DPS,48235,,Vernor Elementary School,,,277,Detroit City District,353.748485,1.27707
-83.119705197554978,42.332150785306247,83,08631,Voyageur Academy,K8,"KG,KG-Part,1,2,3,4",Voyageur Academy,Ferris State University,Leona Group,4321 Military,Charter,48210,,Voyageur Academy,Chadsey/Condon,Chadsey/Condon,367,Charter,1505.775597,4.114141
-83.230708551752684,42.346953623362779,84,08934,Warrendale Charter Academy,K8,"KG,1,2,3,4,5,6,7,8",Warrendale Charter Academy,Grand Valley State University,National Heritage Academies,19400 Sawyer St,Charter,48228,,Warrendale Charter Academy,Cody Rouge,Cody Rouge,701,Charter,1280.199087,1.826247
-82.955659822681426,42.415904668155441,85,04406,Wayne Elementary School,K8,"KG,1,2,3,4,5",Detroit City School District,,,10633 Courville St,DPS,48224,,Wayne Elementary School,,,313,Detroit City District,280.699346,0.896803
-83.125786103041506,42.389632013091742,86,06074,Stewart Elementary,K8,"KG,1,2,3,4,5,6,7,8",Michigan Educational Choice Center,Education Achievement System-EAS,Performance Academies,13120 Wildemere St,EAA Charter,48238,,Stewart Elementary,Northend Central,Northend Central,341,Charter,381.505083,1.125384
-83.033055496039523,42.361261848607214,87,02073,The James and Grace Lee Boggs School,K8,K-4,,Eastern Michigan University,Nataki Educational Services,535 East Kirby,Charter,48207,,The James and Grace Lee Boggs School,,,45,Charter,198.21125,4.404694
-83.096468195027057,42.366906143121689,88,04156,Thirkell Elementary School,K8,"KG,1,2,3,4,5",Detroit City School District,,,7724 14th St,DPS,48206,,Thirkell Elementary School,Northend Central,Northend Central,532,Detroit City District,1206.783637,2.26839
-83.212830028566955,42.398376867713345,89,01084,Thomas Alva Edison Elementary School,K8,"KG-Part,1,2,3,4,5",Detroit City School District,,,17045 Grand River Ave,DPS,48227,,Thomas Alva Edison Elementary School,,,311,Detroit City District,531.499085,1.709
-83.127529308346112,42.405454536988039,90,00857,Thurgood Marshall Elementary School,K8,"KG-Part,1,2,3,4,5,6",Detroit City School District,,,15531 Linwood St,DPS,48238,,Thurgood Marshall Elementary School,,,512,Detroit City District,1090.717326,2.130307
-82.986623487183508,42.380912040713937,91,08572,Timbuktu Academy of Science and Technology,K8,"KG,1,2,3,4,5,6,7,8",Timbuktu Academy of Science and Technology,Detroit City School District,Self-managed,10800 East Canfield St,DPS Charter,48214,,Timbuktu Academy of Science and Technology,,,336,Charter,741.963875,2.208226
